Country,Year,Sex,NCD_Mortality_Rate
Western Pacific,2008,Male,1154.45361
Europe,2007,Female,648.86377
Eastern Mediterranean,2013,Male,336.01038
Europe,2013,Female,245.98584
Africa,2012,Male,704.81384
Americas,2020,Female,295.44336
Africa,2005,Male,839.15137
Americas,2018,Male,447.86087
Americas,2001,Female,527.29608
Americas,2009,Female,351.31512
Africa,2000,Male,1117.44763
Africa,2003,Male,840.35516
Africa,2015,Male,480.34134
Eastern Mediterranean,2006,Male,1093.77441
Americas,2008,Female,555.92267
Europe,2011,Female,368.03824
Americas,2005,Female,468.35339
Western Pacific,2003,Female,710.07733
Western Pacific,2010,Male,1071.01599
Africa,2000,Female,435.73596
Africa,2003,Female,580.93298
Europe,2011,Male,484.99316
Western Pacific,2000,Male,486.84662
Africa,2015,Male,712.36591
Eastern Mediterranean,2002,Female,452.00864
Africa,2008,Female,519.60968
South-East Asia,2015,Female,510.4194
Americas,2009,Female,595.77673
Europe,2004,Male,956.89807
Europe,2016,Male,828.78015
Africa,2005,Female,539.24377
Africa,2001,Male,804.8678
Europe,2003,Male,866.87024
South-East Asia,2000,Male,540.62231
Western Pacific,2021,Male,324.80637
Europe,2021,Male,574.29443
South-East Asia,2010,Female,347.67209
Europe,2016,Male,444.73126
Africa,2011,Male,786.22198
South-East Asia,2005,Male,721.62164
Europe,2007,Male,1123.521
Africa,2003,Female,573.41962
Africa,2021,Male,577.31824
Africa,2011,Female,588.95691
South-East Asia,2019,Female,519.98987
Africa,2019,Male,629.01141
South-East Asia,2010,Female,417.83923
Africa,2001,Female,635.51221
Africa,2018,Female,545.27643
Americas,2021,Female,280.5419
Europe,2012,Male,451.21039
Eastern Mediterranean,2008,Female,820.52747
Americas,2009,Female,974.48621
Western Pacific,2004,Male,628.44305
Americas,2007,Male,476.28122
Africa,2018,Female,515.11536
Europe,2005,Female,636.30725
Americas,2008,Female,280.91785
Africa,2001,Male,864.88525
Europe,2018,Female,228.92607
Eastern Mediterranean,2001,Female,364.23822
Eastern Mediterranean,2008,Male,289.29608
Europe,2017,Female,300.90558
Africa,2008,Female,578.67285
South-East Asia,2006,Female,518.22009
Africa,2017,Female,553.12073
Europe,2020,Female,355.22992
Europe,2015,Female,601.17719
South-East Asia,2012,Male,438.38116
Africa,2021,Male,758.52856
Africa,2004,Female,715.17255
Western Pacific,2002,Male,1326.85315
Americas,2013,Male,428.80548
Europe,2004,Female,526.0708
Europe,2003,Female,312.34354
Africa,2013,Female,834.8562
Western Pacific,2001,Male,1178.59119
Eastern Mediterranean,2002,Female,808.26318
Africa,2017,Female,516.69415
Europe,2001,Male,994.76343
Americas,2002,Female,328.35443
Africa,2016,Male,475.24866
Western Pacific,2001,Male,382.46759
Europe,2000,Female,321.21124
Africa,2014,Male,541.60883
Europe,2012,Female,506.89429
Europe,2000,Female,429.1524
Western Pacific,2008,Female,702.09753
Americas,2009,Female,419.17398
Americas,2018,Female,903.48645
Europe,2007,Female,599.31598
Eastern Mediterranean,2014,Male,667.16528
Americas,2003,Female,365.50262
Europe,2007,Male,433.96414
Africa,2021,Female,540.61066
Europe,2007,Male,677.43713
Africa,2014,Female,657.41943
Africa,2015,Male,703.98083
Americas,2019,Male,373.86273
Americas,2003,Male,570.8797
Europe,2006,Male,1061.4165
Americas,2018,Male,383.88632
Europe,2015,Male,674.42157
Europe,2021,Male,562.67694
South-East Asia,2020,Male,738.28113
Eastern Mediterranean,2020,Male,496.97208
Africa,2014,Male,664.28662
South-East Asia,2002,Male,713.49786
Americas,2016,Male,612.09729
Americas,2019,Male,834.23834
Europe,2003,Female,367.46378
Americas,2014,Male,377.31442
Europe,2002,Female,626.12848
Eastern Mediterranean,2007,Male,624.41473
Americas,2000,Male,585.01331
Americas,2021,Male,440.51904
Europe,2021,Female,580.72693
Europe,2009,Female,479.40149
Eastern Mediterranean,2006,Female,627.16858
Americas,2007,Male,435.52496
Europe,2008,Female,769.88916
Africa,2012,Female,512.77686
South-East Asia,2001,Female,481.9201
Europe,2005,Female,326.85886
